id,name,description,price,stock,category_id,created_at
e5ecbbe4-8de5-4f56-9ff7-d29633344416,Product_XWE6UEQQ,,9399.90,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
5fc88c43-7a39-4f37-b426-a94356ca8eb6,Product_UYV5EQ8A,,9801.93,,a4e45796-614d-4ebd-841b-cbdf751e2adb,1763794934994
46ecf1ea-2f43-4c0b-89f5-bd4dbcd644c2,Product_LY8GA87Z,,5466.21,,da109308-e5ea-46f4-8cb0-1d25630663f0,1763794934994
713af6f3-787c-44c1-9109-fe6781eacee0,Product_XHGIWE2A,,5464.84,,30a4e678-3767-492b-9b1c-e1ff55dd891b,1763794934994
8cf1b4c1-9972-430f-975b-4452ffd397a2,Product_ULY3SRBU,,420.50,,30a4e678-3767-492b-9b1c-e1ff55dd891b,1763794934994
83a270ed-ee4f-4b71-acec-2c1ebf9df568,Product_8GHUI1QI,,5692.44,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
4bff6c21-752d-47f5-b1a5-badde925d188,Product_TS3SXIQO,,9721.21,,a4e45796-614d-4ebd-841b-cbdf751e2adb,1763794934994
9fae86fd-c5f2-40d0-a1f0-8c766c6845cb,Product_9JQRJIX9,,1502.22,,a4e45796-614d-4ebd-841b-cbdf751e2adb,1763794934994
af703e7b-a57e-4433-bd6c-888ebb88bd43,Product_AMSM4R4Q,,8822.98,,a4e45796-614d-4ebd-841b-cbdf751e2adb,1763794934994
8a00589c-6226-4ac3-aaff-a830dc14b8d9,Product_SWGMEM61,,5293.69,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
71fc8a43-96ad-4d4e-b20d-4ce86e1b8e30,Product_RPVYC21H,,3510.00,,fe935266-98f5-4dd9-88b6-c253aa903b9d,1763794934994
de49def3-4371-4468-addb-a8d68586f93e,Product_FNWWL55E,,5048.71,,fe935266-98f5-4dd9-88b6-c253aa903b9d,1763794934994
f3478113-d58d-410c-8fa7-18985465a0b2,Product_JNMYZ7V3,,4437.11,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
673d1169-4da7-4697-85c0-ee554ab1421b,Product_XVFLB97G,,8994.60,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
fb943328-3f26-4240-b059-88c1f4a83ca9,Product_W6KKII4T,,9497.23,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
7fd53475-de78-4163-936d-27d4cf49d2a2,Product_6LLP104M,,2703.88,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
4c7e9633-d0ec-4470-a395-8d478c4a7e8b,Product_HAKOYQRX,,6956.42,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
b4bfb19e-baa7-410b-b264-6ceb8c2128c1,Product_FW854DZT,,1873.94,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
75eba180-003d-4efd-80a0-56b986ee4244,Product_XCEWGOK9,,7483.98,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
33b97713-d7bf-4f82-8edf-5b7409253c09,Product_1CDGTRA4,,742.25,,30a4e678-3767-492b-9b1c-e1ff55dd891b,1763794934994
c62bcac3-5c28-40c0-85ca-0e4b70c7dd84,Product_ISNRM5T6,,8243.01,,da109308-e5ea-46f4-8cb0-1d25630663f0,1763794934994
96b70c77-0499-40ce-8604-d1bdb02f442f,Product_TERL3V3K,,3245.89,,da109308-e5ea-46f4-8cb0-1d25630663f0,1763794934994
8ccacb23-fbb6-4dea-ba64-a95d2db35343,Product_842UK6SF,,2867.74,,fe935266-98f5-4dd9-88b6-c253aa903b9d,1763794934994
b687d122-7812-42a1-86e6-b7367ae5b287,Product_7A4O5ZH1,,2985.25,,a4e45796-614d-4ebd-841b-cbdf751e2adb,1763794934994
83d3c1c9-893d-46cc-ace8-394434a71b6c,Product_VONJT62I,,5107.24,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
3480944e-43fa-4090-a4cc-c9356522a461,Product_EWPZ8E93,,9483.02,,30a4e678-3767-492b-9b1c-e1ff55dd891b,1763794934994
d8c5579c-6936-48e5-872e-62cd9456090f,Product_F4RIFYJF,,7404.89,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
92bb956e-8d58-4adf-aebe-bc42dbc5288f,Product_MU1I95RV,,3953.54,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
dadce3a8-c820-4266-a2cc-0af53a4c606e,Product_7C05GJAH,,6963.25,,da109308-e5ea-46f4-8cb0-1d25630663f0,1763794934994
4b37d36f-c36a-4655-9dc9-8ea65cde7ecd,Product_VIGKDB3X,,9231.45,,e2c4e43d-a06b-4965-bdee-8ee44209b5a3,1763794934994
3cf67a63-53fe-4e80-8806-cf70059cc379,Product_15G2G1EC,,8906.30,,7f4c68b5-7f99-48b4-bc4f-27fe22fff32f,1763794934994
